Year,Total Production (million bushels),Ethanol Use (million bushels)
1986,8875,290
1987,8226,279
1988,7131,287
1989,4929,321
1990,7532,349
1991,7934,398
1992,7475,426
1993,9477,458
1994,6338,533
1995,10051,396
1996,7400,429
1997,9233,488
1998,9207,518
1999,9759,566
2000,9431,630
2001,9915,707
2002,9503,996
2003,8967,1168
2004,10087,1323
2005,11806,1603
2006,11112,2119
2007,10531,3049
2008,13038,3709
2009,12043,4591
2010,13067,5019
2011,12425,5000
2012,12314,4641
2013,10755,5134
2014,13829,5175
2015,14216,5224
2016,13602,5432
2017,15148,5605
2018,14609,5600
2019,14321,5378
